Gatenavn,Kommentar,Dato,Tidpunkt,lat,lon
ARCTANDERS GATE,Alnagate – Konows Gt,28.04.2023,07.00-19.00,59.9029289,10.773585
ARENDALSGATA,Kristiansands Gate – Bentsebrugata,23.04.2023,19.00-07.00,59.9374547,10.7559828
ARENDALSGATA,Trapp V/Halvor Schous Gate,23.04.2023,19.00-07.00,59.9374547,10.7559828
ARENDALSGATA,V/Taxiholdeplass,04.05.2023,07.00-19.00,59.9374547,10.7559828
ARILDS VEI,Hele,04.05.2023,07.00-19.00,59.9582271,10.7900882
ARMAUER HANSENS GATE,General Birchs Gt – Kirkeveien,20.04.2023,07.00-19.00,59.9339531,10.7399745
ARNE GARBORGS PLASS,Grubbegata – Akersgata,11.05.2023,19.00-07.00,59.91677499999999,10.744326
ARNE GARBORGS VEI,Hele,05.05.2023,07.00-19.00,59.9078791,10.8404426
ARNEBRÅTVEIEN,Ankerveien- Stasjonsveien,19.04.2023,19.00-07.00,59.9504948,10.666611
ARNEBRÅTVEIEN,fra Stasjonsveien (husk vel veiene),02.05.2023,07.00-19.00,59.9504948,10.666611
ARNEBRÅTVEIEN,nr 119-153,10.05.2023,07.00-19.00,59.9504948,10.666611
ARNES VEI,Hele,26.04.2023,07.00-19.00,59.9492755,10.7891194
ARNLJOT GELLINES VEI,Enebakkveien – Ende /Blindvei.,11.05.2023,07.00-19.00,59.9056518,10.7968891
ARNLJOT GELLINES VEI,Trapp V/ Gangbru Over Jernbanen,02.05.2023,07.00-19.00,59.9056518,10.7968891
ARNSTEIN ARNEBERG VEI,Hele,24.05.2023,07.00-19.00,59.9262078,10.6951913
ARNULF ØVERLANDS VEI,Hele,20.04.2023,19.00-07.00,59.9725612,10.6442537
ARTHUR NORDLIES VEI,Hele,27.04.2023,07.00-19.00,59.9565311,10.8649448
ARUPS GATE,Oslo Gt – Klostergata,11.05.2023,07.00-19.00,59.9072106,10.7700355
ARUPS GATE,Trapp V/Undergang Mot H. Hårdrådes Plass,11.05.2023,07.00-19.00,59.9072106,10.7700355
ARVESETVEIEN,Delvis privat,09.05.2023,19.00-07.00,59.9294722,10.845374
ASALVEIEN,Hele,05.05.2023,07.00-19.00,59.9534861,10.7482826
ASBJØRNSENS VEI,Hele,09.05.2023,07.00-19.00,59.9655217,10.7840735
ASCHEHOUGS VEI,Hele,28.04.2023,07.00-19.00,59.9482113,10.7963097
ASKEKROKEN,Hele,24.05.2023,07.00-19.00,59.9230222,10.682158
ASKELADDVEIEIEN,Hele,21.04.2023,07.00-19.00,59.9431546,10.7313241
ASKERGATA,Fagerheimgata – Ole Bulls Gt,09.05.2023,07.00-19.00,59.9304464,10.7684176
ASKEVEIEN,Hele,24.05.2023,07.00-19.00,59.9244476,10.6842895
ASLAKVEIEN,Hele,27.04.2023,07.00-19.00,59.9405846,10.6498672
ASLAUG VAAS VEG,Hele,22.05.2023,07.00-19.00,59.9617749,10.651992
ASPEHAUGVEIEN,Hele,02.05.2023,07.00-19.00,59.9445874,10.6765568
ASPERUDVEIEN,Hele,25.04.2023,19.00-07.00,59.838842,10.7994583
ASPESTIEN,Hele,19.04.2023,07.00-19.00,59.8994155,10.7765639
ASTRIDS VEI,Hele,24.05.2023,07.00-19.00,59.9245921,10.6824734
AUGUST CAPPELENS GATE,Kirkeveien – Fagerborggata,25.04.2023,07.00-19.00,59.933384,10.7280885
AURSKOGGATA,Normannsgata – Elverumgata,15.05.2023,07.00-19.00,59.9114642,10.782407
AVSTIKKEREN,Hele,25.04.2023,07.00-19.00,59.8686204,10.8265026
AXEL BRINCHS VEI,Hele,05.05.2023,07.00-19.00,59.9006015,10.8317503
AXEL FLINDERS VEI,Hele,13.04.2023,07.00-19.00,59.8693211,10.7930276
AXEL HUITFELDTS VEI,Hele,13.04.2023,07.00-19.00,59.8720032,10.7833976
AXEL MAURERS VEI,Nybrua – Ankerbrua,03.05.2023,07.00-19.00,59.9178541,10.7575733
