Gatenavn,Kommentar,Dato,Tidpunkt,lat,lon
GANGVEI FROGNER,Snuplass Olav Kyrres Gate – E-18,13.04.2023,07.00-19.00,59.9466658,10.7257032
GANGVEI FROGNER SYD,Lille Frogner Allé – Lille Frogner Allé,27.04.2023,07.00-19.00,59.9466658,10.7257032
GANGVEI GRØNLAND,Annette Thommesens Pl – Stasjonsallmenningen,03.05.2023,19.00-07.00,59.9466658,10.7257032
GANGVEI HASLE,Utenfor Tennishallen Ved Haslevangen,04.05.2023,19.00-07.00,59.92484940000001,10.782654
GANGVEI HASLE,Fougners Vei – Hasleveien,02.05.2023,07.00-19.00,59.92484940000001,10.782654
GANGVEI JORDAL,Gangveier Jordal,03.05.2023,07.00-19.00,59.9105133,10.7839723
GANGVEI KAMPEN,Telemarksvingen – Ensjøveien,15.05.2023,07.00-19.00,59.91298289999999,10.7793965
GANGVEI KVÆRNER,Lodalen – Konows Gate,11.05.2023,19.00-07.00,59.9466658,10.7257032
GANGVEI KVÆRNER,Dyvekes Vei – Konows Gate,11.05.2023,19.00-07.00,59.9466658,10.7257032
GANGVEI LILLEBORG,Fagerheimsgata – Ole Bulls Gate,25.04.2023,19.00-07.00,59.9466658,10.7257032
GANGVEI LILLEBORG,Biermanns Gate – Sagveien,04.05.2023,19.00-07.00,59.9466658,10.7257032
GANGVEI MAILUNDVEIEN,Mailundveien – Trondheimsveien,03.05.2023,07.00-19.00,59.9317541,10.7757556
GANGVEI MAJORSTUA,Sørkedalsveien – Middelthuns Gate (Snuplass),17.04.2023,19.00-07.00,59.9466658,10.7257032
GANGVEI MAJORSTUA,Tørteberget,20.04.2023,07.00-19.00,59.9466658,10.7257032
GANGVEI MOLDEGATA,Moldegata – Badebakken,09.05.2023,07.00-19.00,59.9466658,10.7257032
GANGVEI ROSENHOFF,Jørgen Løvlands Gate – Fagerheimsgata,25.04.2023,19.00-07.00,59.9466658,10.7257032
GANGVEI SANDAKER,Nordkappgata – Åsengata,26.04.2023,07.00-19.00,59.9446093,10.7710347
GANGVEI SANDAKER,Åsengata – Sandakerveien,27.04.2023,07.00-19.00,59.9446093,10.7710347
GANGVEI SENTRUM NORD,Westbye Egebergsgt – Maridalsveien,20.04.2023,07.00-19.00,59.91271889999999,10.7318202
GANGVEI SINSEN,Båhusveien – Sinsenveien,02.05.2023,07.00-19.00,59.9318394,10.7882808
GANGVEI SKARPSNO,Torstrup Terrasse – Thomas Hefteys Gate,17.04.2023,07.00-19.00,59.914168,10.7026567
GANGVEI SOGNSVEIEN,Songsveien – Blindernveien,25.04.2023,07.00-19.00,59.950432,10.7298727
GANGVEI STORO,Gunnar Schelderups Vei – Tamburveien,23.04.2023,19.00-07.00,59.9465762,10.7790698
GANGVEI TORSHOV,Ole Bulls Gate – Fagerheimsgata,25.04.2023,19.00-07.00,59.9338875,10.7638531
GANGVEI TORSHOV,Fagerheimsgata – Vossegata,09.05.2023,07.00-19.00,59.9338875,10.7638531
GANGVEI TORSHOV,Hans Nielsen Hauges Gt – Tverrbakken,03.05.2023,07.00-19.00,59.9338875,10.7638531
GANGVEI TORSHOV,Tverrbakken – Trondheimsveien,03.05.2023,07.00-19.00,59.9338875,10.7638531
GANGVEI TØYEN,Jens Bjelkes Gate – Kolstadgata,12.05.2023,07.00-19.00,59.9152023,10.7660207
GANGVEI TØYEN,Borggata – Smedgata,15.05.2023,07.00-19.00,59.9152023,10.7660207
GANGVEI VALLE-HOVIN,Snuplass Velodromen – Gangvei Ring 3,20.04.2023,07.00-19.00,59.9182621,10.8045814
GANGVEI VALLE-HOVIN,Ved Valle Hovin Mot Vallefaret,02.05.2023,19.00-07.00,59.9182621,10.8045814
GANGVEI VALLE-HOVIN,Innspurten – Vallefaret,02.05.2023,07.00-19.00,59.9182621,10.8045814
GANGVEI VALLE-HOVIN,Innspurten Til Ende,07.05.2023,19.00-07.00,59.9182621,10.8045814
GANGVEI VALLE-HOVIN,Ensjøveien – Undergang Ring 3,03.05.2023,07.00-19.00,59.9182621,10.8045814
GANGVEI VALLE-HOVIN,Gangveier Valle Hovin,03.05.2023,07.00-19.00,59.9182621,10.8045814
GANGVEI VALLE-HOVIN,Innspurten – St Jørgens Vei,03.05.2023,07.00-19.00,59.9182621,10.8045814
GANGVEI VED DYNEKILGATA,Mailundveien – Dynekilgata,03.05.2023,07.00-19.00,59.9306408,10.7756753
GANGVEI VÅLERENGA,Hedmarksgata – Elverumgata,11.05.2023,07.00-19.00,59.9466658,10.7257032
GANGVEIER,Ved Voldsløkka,03.05.2023,07.00-19.00,59.9466658,10.7257032
GARDEVEIEN,Suhms Gate – Slemdalsveien,19.04.2023,07.00-19.00,59.9319016,10.7170969
GARTNERVEIEN,Hele,03.05.2023,07.00-19.00,59.9023404,10.8091005
GARVER YTTEBORGS VEI,Hele,04.05.2023,19.00-07.00,59.9527757,10.9086957
GARVER YTTEBORGS VEI,Jernkroken-Ole Brumsvei,04.05.2023,19.00-07.00,59.9527757,10.9086957
GAUPEFARET,Hele,12.05.2023,07.00-19.00,59.9525414,10.6796389
GAUSTADALLEÈN,Hele,16.04.2023,19.00-07.00,59.9440241,10.7165543
GAUSTADVEIEN,Til Nordbergveien,13.04.2023,19.00-07.00,59.9551289,10.7200323
GEITABRU,Saxegaardsgt – Over Brua,03.05.2023,19.00-07.00,59.9041275,10.7669211
GEITMYRSVEIEN,Colletts Gate – Kirkevn/Ring 2,10.05.2023,19.00-07.00,59.9300224,10.7434606
GEITMYRSVEIEN,Ullevålsveien – Colletts Gate,24.04.2023,07.00-19.00,59.9300224,10.7434606
GENERAL BIRCHS GATE,Ullevålsveien – Geitemyrsvn,11.05.2023,19.00-07.00,59.9317228,10.738713
GENERAL KROGSVEI,Noreveien - T-Bane,24.04.2023,07.00-19.00,59.9345481,10.6656004
GENERAL KROGSVEI,Hele,25.04.2023,07.00-19.00,59.9345481,10.6656004
GENERAL RUGES VEI,Hele,13.04.2023,19.00-07.00,59.876953,10.8407984
GENERALLUNDEN,Hele,24.04.2023,07.00-19.00,59.9257919,10.6458985
GEOLOGSVINGEN,Hele,24.04.2023,07.00-19.00,59.9302328,10.6577789
GIMLE TERRASSE,Sophus Lies Gt – Ende E/Th Heftyes Gt,27.04.2023,07.00-19.00,59.9171058,10.7054587
GIMLEVEIEN,Bygdøy Allé – Nordraaks Gate,13.04.2023,07.00-19.00,59.9194079,10.7060641
GINA KROGS VEI,Hele,24.04.2023,07.00-19.00,59.8773494,10.8148671
GISLES VEI,Hele,18.04.2023,07.00-19.00,59.8817609,10.807661
GJENNOMFARET,Hele,05.05.2023,07.00-19.00,59.9515961,10.7457684
GJENVEIEN,Hele,18.04.2023,07.00-19.00,59.9372167,10.7142942
GJERDESMUTTEN,Hele,03.05.2023,07.00-19.00,59.9673461,10.864529
GJERDRUMS VEI,Sandakerveien-Rolf wickstrømsvei,26.04.2023,07.00-19.00,59.9544115,10.7645519
GJØAVEIEN,Hele,12.05.2023,07.00-19.00,59.9392154,10.6849562
GJØKBAKKEN,Hele,22.05.2023,07.00-19.00,59.9686086,10.6561903
GJØRSTADS GATE,Bogstadsveien – Majorstuveien,18.04.2023,07.00-19.00,59.9265003,10.7184124
GJØVIKGATA,Bentsbrugata – Maridalsveien,09.05.2023,07.00-19.00,59.9394165,10.7606496
GLADENGVEIEN,Grenseveien – Ensjøveien,18.04.2023,19.00-07.00,59.9169681,10.7913518
GLADSVEI,Hele,26.04.2023,07.00-19.00,59.9521829,10.7829035
GLIMMERSVINGEN,Hele,25.04.2023,07.00-19.00,59.870573,10.8161519
GLIMMERVEIEN,Hele,25.04.2023,07.00-19.00,59.8699945,10.8178823
GLÜCKSTADS GATE,Stensberggata – Dalsbergstien,10.05.2023,07.00-19.00,59.9219947,10.7379098
GML MARIDALSVEIEN,Hele,11.05.2023,19.00-07.00,60.0099992,10.7667382
GODALS VEI,Hele,03.05.2023,07.00-19.00,59.9463348,10.7552199
GODLIA PARKSTI,Hele,05.05.2023,07.00-19.00,59.9084127,10.8402162
GODLIAVEIEN,Hele,05.05.2023,07.00-19.00,59.9061661,10.8382534
GOLFSTUBBEN,Hele,27.04.2023,07.00-19.00,59.9603524,10.6329663
GRAAHBAKKEN,Fredriksborgveien – Ende,08.05.2023,07.00-19.00,59.900735,10.6786765
GRANEBAKKEN,Hele,27.04.2023,07.00-19.00,59.856485,10.8273853
GRANHEKKVEIEN,Hele,05.05.2023,07.00-19.00,59.900466,10.8258993
GRANITTVEIEN,Hele,24.04.2023,07.00-19.00,59.8650956,10.8192707
GRANKOLLVEIEN,Hele,20.04.2023,07.00-19.00,59.9120929,10.8608517
GRANKVISTEN,Hele,18.04.2023,07.00-19.00,59.8830899,10.7913849
GRANLIVEIEN,Hele,26.04.2023,07.00-19.00,59.9424682,10.9278652
GRANSDALEN,Hele,18.04.2023,07.00-19.00,59.9477287,10.8972395
GRANSTANGEN,Hele,18.04.2023,07.00-19.00,59.9423798,10.9017363
GRANSTUVEIEN,Hele,18.04.2023,07.00-19.00,59.8822727,10.7994275
GRANVEIEN,Hele,18.04.2023,07.00-19.00,59.8834764,10.7919595
GRASVEIEN,Hele,28.04.2023,07.00-19.00,59.8918246,10.8135531
GRAVDALSVEIEN,Hele,27.04.2023,07.00-19.00,59.9558504,10.6332536
GREFSEN ALLÈ,Fra Grefsen veien til Doktor Smiths vei,26.04.2023,07.00-19.00,59.9483583,10.787655
GREFSENKOLLVEIEN,Lachmanns vei- Kjelsåsveien,25.04.2023,19.00-07.00,59.9570523,10.7982585
GREFSENKOLLVEIEN,Lachmanns vei- Snuplass,03.05.2023,19.00-07.00,59.9570523,10.7982585
GREFSENVEIEN,Kjelsåsveien til storokrysset,03.05.2023,19.00-07.00,59.9521315,10.7853471
GREFSENVEIEN,Hans Nielsen Hauges Gt – Storo Bru,23.04.2023,19.00-07.00,59.9521315,10.7853471
GREGERS GRAMS VEI,Inn til y kryss.,17.04.2023,07.00-19.00,59.9349687,10.6471931
GRENSEVEIEN,Trondheimsveien – Hovinveien,24.04.2023,19.00-07.00,59.9200115,10.7938582
GRENSEVEIEN,Hovinveien – Strømsvn O/Brua,07.05.2023,19.00-07.00,59.9200115,10.7938582
GRESSBANEN,P-plass,17.04.2023,19.00-07.00,59.9507084,10.6767022
GREVEVEIEN,Hele,11.05.2023,19.00-07.00,60.0067927,10.7992361
GREVLINGVEIEN,Hele,18.04.2023,07.00-19.00,59.946059,10.8509127
GRIFFENFELDTS GATE,Marcus Thranes Gate – Kirkeveien,20.04.2023,07.00-19.00,59.9343078,10.7502153
GRIMELUNDSHAUGEN,Hele,12.05.2023,07.00-19.00,59.9425025,10.6934012
GRIMELUNDVEIEN,Hele,15.05.2023,07.00-19.00,59.9464447,10.6927336
GRIMSTADGATA,Kongsvingergata – Dannevigsveien,09.05.2023,07.00-19.00,59.9384831,10.7555113
GRINDA,Hele,11.05.2023,07.00-19.00,59.965286,10.7518743
GRINDBAKKEN,Hele,23.05.2023,07.00-19.00,59.969946,10.6461045
GRINIVEIEN,Røahagan - Bærumsgrensa,10.05.2023,19.00-07.00,59.9519985,10.6306661
GRORD FLERBRUKSHALL,P-plass,23.04.2023,19.00-07.00,59.9596713,10.8826814
GRORUDBAKKEN,Hele,25.04.2023,07.00-19.00,59.9551896,10.8800652
GRORUDVEIEN,Gransdalen – Micheletvei,25.04.2023,07.00-19.00,59.9528655,10.8861007
GRORUDVEIEN,Bergensveien-Maria Dehlies Vei,08.05.2023,19.00-07.00,59.9528655,10.8861007
GRUBBEGATA,Hammersborg Torg – Fredensborgvn,09.05.2023,19.00-07.00,59.9151473,10.7464345
GRUBBEGATA,Trapp/Gangvei Mot Møllergata,11.05.2023,19.00-07.00,59.9151473,10.7464345
GRUEGATA,Sigurds Gate – Ende,15.05.2023,07.00-19.00,59.9129482,10.77454
GRUSVEIEN,Hele,24.04.2023,07.00-19.00,59.8649561,10.8213248
GRUVELIA,Hele,03.05.2023,07.00-19.00,59.963913,10.8660613
GRÅBRØDVEIEN,Hele,25.05.2023,07.00-19.00,59.929068,10.6674958
GRÅGÅSVEIEN,Hele,09.05.2023,07.00-19.00,59.8818505,10.8277876
GRÅKAMVEIEN,Hele,15.05.2023,07.00-19.00,59.9572151,10.7019752
GRÅSTEINVEIEN,Hele,24.04.2023,07.00-19.00,59.8688253,10.8169918
GRØNLIBAKKEN,Hele,09.05.2023,07.00-19.00,59.8985327,10.8347514
GRØNNEGATA,Hegdehaugsveien – Pilestredet,19.04.2023,07.00-19.00,59.9221477,10.7295387
GRØNVOLL ALLÉ,Malerhaugvn – Renseveien,07.05.2023,19.00-07.00,59.9160898,10.7979738
GRÜNERHAGEN,Grüners Gate – Fossveien,03.05.2023,07.00-19.00,59.9214753,10.7549671
GRÜNERSTUBBEN,Markveien – Stenstrups Gt,12.05.2023,07.00-19.00,59.9263479,10.7564855
GULDBEGS VEI,Hele,19.04.2023,07.00-19.00,59.9320826,10.6889678
GULDBERGLIA,Hele,25.05.2023,07.00-19.00,59.9303771,10.6838229
GULLERÅSVEIEN,Hele,15.05.2023,07.00-19.00,59.95626,10.6970853
GULLERÅSVEIEN,til Gråkamveien,16.05.2023,07.00-19.00,59.95626,10.6970853
GULLKROKKEN,Hele,25.05.2023,07.00-19.00,59.9138688,10.7522454
GUNHILDS GATE,Borggata – Magnus Gate,15.05.2023,07.00-19.00,59.9120029,10.7723179
GUNNAR JOHNSONS VEI,Hele,08.05.2023,07.00-19.00,59.9567541,10.7489985
GUNNAR SCHJELDERUPS VEI,Vitaminveien – Snuplass,23.04.2023,19.00-07.00,59.9487979,10.7733429
GUNNULVS VEI,Hele,20.04.2023,07.00-19.00,59.9193357,10.8457768
GURISTUVEIEN,Hele,28.04.2023,07.00-19.00,59.8863996,10.8427115
GUSTAV BLOMS GATE,Parkveien – Ende,14.04.2023,07.00-19.00,59.9146239,10.7220933
GUSTAV HEIBERGS VEI,Hele,21.04.2023,07.00-19.00,59.9419345,10.7320975
GUSTAV JENSENS GATE,Maridalsveien – Stockfleths Gate,04.05.2023,07.00-19.00,59.9350364,10.7540296
GUSTAV VIGELANDS VEI,Hele,24.05.2023,07.00-19.00,59.924109,10.6893519
GUSTAVS GATE,Josefines Gate – Oscars Gate,19.04.2023,07.00-19.00,59.9235141,10.7286853
GUVERNØRENS VEI,Hele,24.04.2023,07.00-19.00,59.9223785,10.6350358
GYDAS VEI,Suhms Gate – Trudvangvn,20.04.2023,07.00-19.00,59.9331883,10.7167762
GYLDENLØVES GATE,Niels Juels Gate – Løvenskiolds Gate,13.04.2023,19.00-07.00,59.9213604,10.7126519
GYLDENLØVES GATE,Kirkeveien – Løvenskiolds Gate,19.04.2023,07.00-19.00,59.9213604,10.7126519
GÅBLEINS VEI,Hele,20.04.2023,07.00-19.00,59.9425177,10.7334953
GÅRDSVEIEN,Hele,19.04.2023,07.00-19.00,59.9505911,10.8730174
GØRBITZ` GATE,Kirkeveien – Jacob Aalls Gate,10.05.2023,07.00-19.00,59.9328821,10.7272638
HAAKON AUNES VEI,Hele,26.04.2023,07.00-19.00,59.9498522,10.7871372
HAAKON DEN GODES VEI,Hele,18.04.2023,07.00-19.00,59.9417567,10.7060612
HAAKON TVETERS VEI,VEI 3275,04.05.2023,07.00-19.00,59.8967556,10.8382746
HAAKON TVETERS VEI,Hele,04.05.2023,07.00-19.00,59.8967556,10.8382746
HAARKLOUS PLASS,Hele,04.05.2023,07.00-19.00,59.9369849,10.7755123
HAAVARD MARTINSENS VEI,Hele,23.04.2023,19.00-07.00,59.9602288,10.9088969
HAFRSFJORDGATA,Blindv. Nedenfor Dr. Veien – Solheimsgata,13.04.2023,07.00-19.00,59.9195065,10.6986242
HAFSLUNDVEIEN,Hele,18.04.2023,07.00-19.00,59.9379814,10.7080318
HAGALØKKA,Hele,27.04.2023,07.00-19.00,59.9633971,10.8848628
HAGAN TERRASSE,Hele,25.04.2023,07.00-19.00,59.9398156,10.6744031
HAGAPYNTEN,Hele,19.04.2023,07.00-19.00,59.9215252,10.8518034
HAGAVEIEN,Hele,08.05.2023,07.00-19.00,59.9500192,10.9334634
HAGEGATA,Trapp V/Nannestadgata,12.05.2023,07.00-19.00,59.913931,10.7755342
HAGEGATA,Trapp V/Brinken,15.05.2023,07.00-19.00,59.913931,10.7755342
HAGEGATA,Tøyengata – Kjølberggata,18.04.2023,19.00-07.00,59.913931,10.7755342
HAGELUNDVEIEN,Hele,27.04.2023,07.00-19.00,59.9637474,10.8820934
HAGTORNVEIEN,Hele,05.05.2023,07.00-19.00,59.9509919,10.7299225
HALLAGERBAKKEN,Hele,25.04.2023,07.00-19.00,59.8408111,10.7938467
HALLINGS GATE,Stensberggata – Dalsbergstien,25.04.2023,07.00-19.00,59.9222774,10.7389601
HALLINGS GATE,Trapp V/ Nr 3a,25.04.2023,07.00-19.00,59.9222774,10.7389601
HALLVARD BERGVES VEI,Hele,03.05.2023,07.00-19.00,59.9547822,10.8820556
HALVDAN SVARTES GATE,Hele,19.04.2023,19.00-07.00,59.9221599,10.6966038
HALVOR SCHOUS GATE,Hammergata – Trapp V/Arendalsgata,09.05.2023,07.00-19.00,59.9381353,10.7586586
HALVOR TORGERSENS VEI,Hele,16.05.2023,07.00-19.00,59.9538421,10.7065987
HAMBORGVEIEN,Hele,05.05.2023,07.00-19.00,59.9598291,10.7372636
HAMBORGVEIEN,Hele,08.05.2023,07.00-19.00,59.9598291,10.7372636
HAMMERFESTGATA,Langgata – Trondheimsveien,12.05.2023,07.00-19.00,59.9251957,10.7732734
HAMMERGATA,Maridalsveien – Bentsebrugata,09.05.2023,07.00-19.00,59.9383902,10.7587111
HAMMERSBORG TORG,Grubbegata – Møllergata,03.05.2023,19.00-07.00,59.9167997,10.7484374
HAMMERSTADS GATE,Industrigata – Gydas Vei,19.04.2023,07.00-19.00,59.930498,10.7200372
HANS AANRUDS VEI,Hele,27.04.2023,07.00-19.00,59.952438,10.8498892
HANS MØLLER GASMANNS VEI,Hele,11.05.2023,07.00-19.00,59.9380823,10.8343153
HANS NIELSEN HAUGES GATE,Treschows Gate – Grefsenveien,23.04.2023,19.00-07.00,59.9390815,10.7764325
HANS NIELSEN HAUGES GATE,Sandaker P-Plass V/Treschows Gate,23.04.2023,19.00-07.00,59.9390815,10.7764325
HANS NIELSEN HAUGES GATE,Grefsenveien – Storoveien/Ring 3,26.04.2023,19.00-07.00,59.9390815,10.7764325
HANS ROSS` GATE,Bjerregaards Gt – Frederikke Qvams Gate,25.04.2023,07.00-19.00,59.92472,10.7455505
HANSEMYRVEIEN,Hele,11.05.2023,07.00-19.00,59.9629943,10.760849
HANSTEENS GATE,Henrik Ibsens Gate – Lassons Gate,13.04.2023,07.00-19.00,59.9136092,10.7225249
HARALD HALVORSENS VEI,Hele,10.05.2023,07.00-19.00,59.917132,10.8256827
HARALD HARDRÅDES PLASS,Trapp V/Undergang Mot Arupsgate,08.05.2023,19.00-07.00,59.907658,10.773032
HARALD HÅRFAGRES GATE,Trapp V/Sporveiesmuséet,20.04.2023,07.00-19.00,59.9312803,10.718399
HARALD HÅRFAGRES GATE,Suhms Gate – Valkyriegata,20.04.2023,07.00-19.00,59.9312803,10.718399
HARALD LØVENSKIOLDS VEI,Hele,25.04.2023,07.00-19.00,59.9495665,10.6364182
HARALD SOHLBERGS VEI,Hele,08.05.2023,07.00-19.00,59.9357413,10.9232103
HARALDRUDVEIEN,Hele,24.04.2023,19.00-07.00,59.9278422,10.8242581
HARALDS VEI,Hovinveien – Ende,03.05.2023,07.00-19.00,59.9215596,10.7890176
HARALDSHEIMVEIEN,Hele,28.04.2023,07.00-19.00,59.9423492,10.7887412
HARALØKKA,Hele,28.04.2023,07.00-19.00,59.8824883,10.8532201
HARBITZALLEEN,Hele,25.05.2023,07.00-19.00,59.9245229,10.670606
HARESTIEN,Hele,23.05.2023,07.00-19.00,59.9645494,10.6578918
HAREVEIEN,Hele,04.05.2023,07.00-19.00,59.9591178,10.7929238
HARTMANNS VEI,Hele,24.04.2023,07.00-19.00,59.9243025,10.6350144
HARÅSVEIEN,Hele,26.05.2023,07.00-19.00,59.9184757,10.6375138
HASLEFETBAKKEN,Hele,09.05.2023,07.00-19.00,59.8829365,10.8222578
HASLEVANGEN,Hele,04.05.2023,19.00-07.00,59.9254407,10.7984393
HASLEVANGEN,Grenseveien – Grensveien 60/Tennishallen,03.05.2023,07.00-19.00,59.9254407,10.7984393
HASLEVEIEN,Trondheimsveien – Grenseveien,18.04.2023,19.00-07.00,59.9281152,10.7830872
HASLEVOLLEN,Hasleveien – Haslevangen,03.05.2023,07.00-19.00,59.9254515,10.7911925
HASSELHAUGVEIEN,Hele,20.04.2023,07.00-19.00,59.9392061,10.7273766
HAUCHS GATE,Maridalsveien – Darres Gate,10.05.2023,19.00-07.00,59.9270079,10.7518301
HAUGENSTUA,G/S og plasser,25.04.2023,07.00-19.00,59.9527041,10.9096273
HAUGENSTUVEIEN,fra linjeveien og til snuplass,25.04.2023,07.00-19.00,59.9497469,10.9055251
HAUGERUDBAKKEN,Hele,19.04.2023,07.00-19.00,59.9229248,10.8532684
HAUGERUDHAGAN,Hele,19.04.2023,07.00-19.00,59.9209878,10.8501577
HAUGERUDSENTERET,Hele,04.05.2023,07.00-19.00,59.9226154,10.8571299
HAUGERUDVEIEN,Tvetenveien - Snuplass,04.05.2023,07.00-19.00,59.9177337,10.8565178
HAUGES VEI,Hele,03.05.2023,07.00-19.00,59.9480623,10.7555606
HAUGMANNSVEIEN,Hele,15.05.2023,07.00-19.00,59.9401626,10.8026936
HAUKELIBAKKEN,Hele,15.05.2023,07.00-19.00,59.9483953,10.692109
HAUKETO,PARKERING,10.05.2023,19.00-07.00,59.843982,10.8093
HAUKETOSVINGEN,Hele,26.04.2023,07.00-19.00,59.8417157,10.8065834
HAUKETOVEIEN,Hele,26.04.2023,07.00-19.00,59.8442755,10.805682
HAUSMANNS GATE,Møllergata – Nylandsveien,10.05.2023,19.00-07.00,59.9171389,10.7553579
HAVNA ALLÈ,Hele,18.04.2023,07.00-19.00,59.9394446,10.7142358
HAVNABAKKEN,Hele,08.05.2023,07.00-19.00,59.9591143,10.7523806
HAVNEHAGAN,Havnebakken- Nordbergveien,08.05.2023,07.00-19.00,59.9551191,10.7507862
HAVREVEIEN,Hele,28.04.2023,07.00-19.00,59.8939969,10.8096808
HAXTHAUSENS GATE,Frognervn – Gyldenløves Gate,27.04.2023,07.00-19.00,59.9179482,10.7142922
HEDMARKSGATA,Strømsveien – Bom (Gatetun),11.05.2023,07.00-19.00,59.9112293,10.7865432
HEDMARKSGATA,Normannsgata – Bom (Gatetun),12.05.2023,07.00-19.00,59.9112293,10.7865432
HEGDEHAUGSVEIEN,Parkveien – Bogstadveien,19.04.2023,19.00-07.00,59.9212416,10.7274625
HEGDEHAUGSVEIEN,Stensberggata – Parkveien,19.04.2023,07.00-19.00,59.9212416,10.7274625
HEGELIBAKKEN,Hele,19.04.2023,07.00-19.00,59.9387741,10.6919793
HEGERMANNS GATE,Bentsebrugata – Joh. Svendsens Gate,04.05.2023,19.00-07.00,59.9347767,10.7659837
HEGGELIVEIEN,Monolitveien-Sørkedalsveien,19.04.2023,07.00-19.00,59.9332382,10.6883947
HEGGELIVEIEN,til Monolitveien,25.05.2023,07.00-19.00,59.9332382,10.6883947
HEIASVINGEN,Hele,20.04.2023,07.00-19.00,59.8846492,10.7786807
HEIERSTUVEIEN,Hele,08.05.2023,07.00-19.00,59.956647,10.7590816
HEIMDALSGATA,Trondheimsveien – Tøyengata,05.05.2023,07.00-19.00,59.916272,10.7645119
HEKKVEIEN,Grenseveien – Ende,03.05.2023,07.00-19.00,59.9269813,10.7801893
HELGA VANEKS VEI,Hele,27.04.2023,07.00-19.00,59.8482809,10.8321508
HELGESENS GATE,Toftes Gate – Sars Gate,09.05.2023,19.00-07.00,59.9228248,10.768164
HELGESENS GATE,Sarsgata – Blindvei/Tøyenparken,03.05.2023,07.00-19.00,59.9228248,10.768164
HELLERUD GÅRDSVEI,Hele,21.04.2023,07.00-19.00,59.9127322,10.8466016
HELLERUD TERRASSE,Hele,20.04.2023,07.00-19.00,59.9127244,10.8565281
HELLERUDFARET,Hele,02.05.2023,07.00-19.00,59.9057931,10.8508908
HELLERUDSVINGEN,Hele,02.05.2023,07.00-19.00,59.9019002,10.8526492
HELLERUDVEIEN,Haugerudveien – Trasoppveien,20.04.2023,07.00-19.00,59.9051326,10.851154
HELLEVEIEN,Hele,02.05.2023,07.00-19.00,59.9419778,10.6829943
HELLINGA,Hele,21.04.2023,07.00-19.00,59.8703652,10.8100727
HELSFYR,Trapp V/Gv Fra Grenseveien,07.05.2023,19.00-07.00,59.9110653,10.8078855
HELSFYR,Trapp V/Undergang Til Etterstadsletta,07.05.2023,19.00-07.00,59.9110653,10.8078855
HELSFYR BUSSTERMINAL,Kun Den Største Plassen M/Fortau,07.05.2023,19.00-07.00,59.9110653,10.8078855
HEMINGVEIEN,Fra Stasjonsveien,02.05.2023,07.00-19.00,59.9517151,10.6706878
HEMINGVEIEN,Til stasjonsveien,10.05.2023,07.00-19.00,59.9517151,10.6706878
HEMMESTVEITBAKKEN,Hele,25.04.2023,07.00-19.00,59.9373095,10.6628652
HENRICHSENS GATE,Colletts Gate – Frydenlundsgata,10.05.2023,07.00-19.00,59.9252054,10.7373183
HENRIK IBSENS GATE,Trapp V/Sommerrogata,13.04.2023,19.00-07.00,59.9153005,10.7248578
HENRIK KLAUSENS GATE,Vidars Gate – Thereses Gate,10.05.2023,07.00-19.00,59.9301526,10.7334786
HENRIK SØRENSENS VEI,Hele,08.05.2023,07.00-19.00,59.9372011,10.9247245
HENRIKS VEI,Hele,10.05.2023,07.00-19.00,59.9486625,10.6552477
HERMAN FOSS` GATE,Brandts Gate – Ilagata,25.04.2023,07.00-19.00,59.9278643,10.7453801
HERREGÅRDSVEIEN,Hele,25.04.2023,07.00-19.00,59.8451303,10.7855889
HERSLEBS GATE,Lakkegata – Tøyengata Inkl. Til Jens Bjelkes Gt,12.05.2023,19.00-07.00,59.9173109,10.7649648
HERSLEBS GATE,(1 -14) Ratkes Gate – Lakkegata,09.05.2023,19.00-07.00,59.9173109,10.7649648
HERTUG SKULES GATE,Sigurds Gate – Biskop Nicolas Gate,15.05.2023,07.00-19.00,59.9125528,10.7756783
HERTZBERGS GATE,Suhms Gate – Jacob Aalls Gate,10.05.2023,07.00-19.00,59.9309479,10.7256198
HESJEVEIEN,Hele,25.04.2023,07.00-19.00,59.9492876,10.907236
HESTEHAGEN,Hele,26.04.2023,07.00-19.00,59.9549834,10.8537571
HESTESKOEN,Hele,04.05.2023,07.00-19.00,59.9619223,10.7772727
HEYERDAHLS VEI,Hele,16.05.2023,07.00-19.00,59.9505887,10.6998767
HJALMAR JORDANS VEI,Bygdøy Kapellvei – Ende,08.05.2023,07.00-19.00,59.9038617,10.6827061
HJALTLANDSGATA,Danmarks Gate – Islands Gate,11.05.2023,07.00-19.00,59.9070942,10.7892431
HJELMS GATE,Ulfstens Gate – Bogstadveien,18.04.2023,07.00-19.00,59.924888,10.7224074
HJEMLIVEIEN,Hele,03.05.2023,07.00-19.00,59.904383,10.8160745
HJORTEVEIEN,Hele,21.04.2023,07.00-19.00,59.9424227,10.7370084
HJØRUNGAVÅGGATA,Drammensveien – Tostrups Gate,13.04.2023,07.00-19.00,59.9174378,10.7007587
HJØRUNGVEIEN,Hele,20.04.2023,07.00-19.00,59.9363744,10.6940203
HOCKEYVEIEN,Hele,24.04.2023,07.00-19.00,59.9318069,10.8732431
HOFFSJEF LØVENSKIOLDS VEI,Fra Ullern gårdsvei til Ullern Alle,17.04.2023,07.00-19.00,59.9302997,10.6457473
